taxon_name,level_1,level_2,ecological_group
abies,Abies,Abies,TRSH
abies_sibirica,Abies,Abies,TRSH
accu_model_a,delete,delete,LABO
acer,Acer,Acer,TRSH
aconitum,Ranunculaceae,Ranunculaceae,UPHE
actaea,Ranunculaceae,Ranunculaceae,UPHE
alchemilla,Alchemilla,Alchemilla,UPHE
algae,delete,delete,ALGA
alisma,delete,delete,AQVP
alisma_plantago_minus_aquatica,delete,delete,AQVP
alismataceae,delete,delete,AQVP
alismataceae_undiff,delete,delete,AQVP
allium,Liliaceae,Liliaceae,UPHE
aln_type_1,Alnus undifferentiated,Alnus undifferentiated,TRSH
aln_type_2,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_fruticosa,"Alnus, shrub","Alnus, shrub",TRSH
alnus_fruticosa_type,"Alnus, shrub","Alnus, shrub",TRSH
alnus_glutinosa,"Alnus, tree","Alnus, tree",TRSH
alnus_glutinosa_type,"Alnus, tree","Alnus, tree",TRSH
alnus_hirsuta,"Alnus, tree","Alnus, tree",TRSH
alnus_hirsuta_type,"Alnus, tree","Alnus, tree",TRSH
alnus_incana,"Alnus, tree","Alnus, tree",TRSH
alnus_shrub,"Alnus, shrub","Alnus, shrub",TRSH
alnus_sp,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_subg_alnobetula,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_tree,"Alnus, tree","Alnus, tree",TRSH
alnus_undiff,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_undifferentiated,Alnus undifferentiated,Alnus undifferentiated,TRSH
alnus_viridis,"Alnus, shrub","Alnus, shrub",TRSH
alnus_viridis_ssp_fruticosa,"Alnus, shrub","Alnus, shrub",TRSH
alnus_viridis_subsp_fruticosa,"Alnus, shrub","Alnus, shrub",TRSH
alnus_viridis_subsp_fruticosa_type,"Alnus, shrub","Alnus, shrub",TRSH
amaranthaceae,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
amaranthaceae_chenopodiaceae,Amaranthaceae/Chenopodiaceae,Amaranthaceae/Chenopodiaceae,UPHE
ambrosia,Ambrosia/Xanthium,Ambrosia/Xanthium,UPHE
ambrosia_type,Ambrosia/Xanthium,Ambrosia/Xanthium,UPHE
andromeda,Ericaceae,Ericaceae,TRSH
androsace,Primulaceae,Primulaceae,UPHE
androsaceae,Primulaceae,Primulaceae,UPHE
anemone,Ranunculaceae,Ranunculaceae,UPHE
anemone_sect_hepatica,Ranunculaceae,Ranunculaceae,UPHE
anemone_sect_pulsatilla,Ranunculaceae,Ranunculaceae,UPHE
anemone_sect_pulsatilla_type,Ranunculaceae,Ranunculaceae,UPHE
angelica_sylvestris,Angelica sylvestris,Angelica sylvestris,UPHE
angiospermae_undiff_herbs,delete,delete,UPHE
anthemis,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
anthemis_type,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
anthoceros,delete,delete,UPBR
apiaceae,Apiaceae,Apiaceae,UPHE
aquatics,delete,delete,AQVP
aquifoliaceae,Aquifoliaceae,Aquifoliaceae,TRSH
aquilegia_undiff,Ranunculaceae,Ranunculaceae,UPHE
aralia,Araliaceae,Araliaceae,UPHE
araliaceae,Araliaceae,Araliaceae,UPHE
arctostaphylos,Ericaceae,Ericaceae,TRSH
arenaria_type,Caryophyllaceae,Caryophyllaceae,UPHE
armeria,Plumbaginaceae,Plumbaginaceae,UPHE
artemisia,Artemisia,Artemisia,UPHE
artemisia_tilesii,Artemisia,Artemisia,UPHE
artemisia_undiff,Artemisia,Artemisia,UPHE
asplenium,delete,delete,VACR
asplenium_type,delete,delete,VACR
aster,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
aster_type,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
asteraceae,Asteraceae undifferentiated,Asteraceae undifferentiated,UPHE
asteraceae_asteroideae,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
asteraceae_cichorioideae,Asteraceae Cichorioideae,Asteraceae Cichorioideae,UPHE
asteraceae_saussurea_type,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
asteraceae_senecio_type,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
asteraceae_undiff,Asteraceae undifferentiated,Asteraceae undifferentiated,UPHE
asteroideae,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
asteroideae_undiff,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
astragalus_type,"Fabaceae, shrub","Fabaceae, shrub",UPHE
athemis,Asteraceae Asteroideae,Asteraceae Asteroideae,UPHE
athyrium_filix_minus_femina,delete,delete,VACR
athyrium_filix_minus_femina_type,delete,delete,VACR
balsaminaceae,Balsaminaceae,Balsaminaceae,UPHE
bergenia_crassifolia,Saxifraga undifferentiated,Saxifraga undifferentiated,UPHE
betaea_type_1,Betula undifferentiated,Betula undifferentiated,TRSH
betaea_type_2,Betula undifferentiated,Betula undifferentiated,TRSH
betaea_type_3,Betula undifferentiated,Betula undifferentiated,TRSH
betula,Betula undifferentiated,Betula undifferentiated,TRSH
betula_cf_b_fruticosa,"Betula, shrub","Betula, shrub",TRSH
betula_cf_b_nana,"Betula, shrub","Betula, shrub",TRSH
betula_cf_b_pendula,"Betula, tree","Betula, tree",TRSH
betula_costata,"Betula, tree","Betula, tree",TRSH
betula_dahurica,"Betula, tree","Betula, tree",TRSH
betula_ermanii,"Betula, tree","Betula, tree",TRSH
betula_fructicosae,"Betula, shrub","Betula, shrub",TRSH
betula_fruticosa,"Betula, shrub","Betula, shrub",TRSH
betula_humilis,"Betula, shrub","Betula, shrub",TRSH
betula_large,"Betula, tree","Betula, tree",TRSH
betula_nana,"Betula, shrub","Betula, shrub",TRSH
betula_nana_subsp_exilis,"Betula, shrub","Betula, shrub",TRSH
betula_nana_type,"Betula, shrub","Betula, shrub",TRSH
betula_pendula,"Betula, tree","Betula, tree",TRSH
betula_pendula_subsp_mandshurica,"Betula, tree","Betula, tree",TRSH
betula_pubescens,"Betula, tree","Betula, tree",TRSH
betula_pubescens_type,"Betula, tree","Betula, tree",TRSH
betula_pubescens_var_pumila,"Betula, tree","Betula, tree",TRSH
betula_schmidtii,"Betula, tree","Betula, tree",TRSH
betula_sect_albae,"Betula, tree","Betula, tree",TRSH
betula_sect_apterocaryon,"Betula, shrub","Betula, shrub",TRSH
betula_sect_betula,"Betula, tree","Betula, tree",TRSH
betula_sect_betula_type,"Betula, tree","Betula, tree",TRSH
betula_sect_costatae,"Betula, tree","Betula, tree",TRSH
betula_sect_fruticosae,"Betula, shrub","Betula, shrub",TRSH
betula_sect_nanae,"Betula, shrub","Betula, shrub",TRSH
betula_sect_nanae_fruticosae,"Betula, shrub","Betula, shrub",TRSH
betula_shrub,"Betula, shrub","Betula, shrub",TRSH
betula_small,"Betula, shrub","Betula, shrub",TRSH
betula_tetraporate,Betula undifferentiated,Betula undifferentiated,TRSH
betula_tree,"Betula, tree","Betula, tree",TRSH
betula_undiff,Betula undifferentiated,Betula undifferentiated,TRSH
betula_undifferentiated,Betula undifferentiated,Betula undifferentiated,TRSH
betulaceae_undiff,Betula undifferentiated,Betula undifferentiated,TRSH
bistorta,Bistorta,Bistorta,UPHE
bistorta_elliptica,Bistorta,Bistorta,UPHE
bistorta_officinalis,Bistorta,Bistorta,UPHE
bistorta_officinalis_type,Bistorta,Bistorta,UPHE
bistorta_vivipara,Bistorta,Bistorta,UPHE
boraginaceae,Boraginaceae,Boraginaceae,UPHE
botrychium,delete,delete,VACR
botrychium_lunaria,delete,delete,VACR
botrychium_undiff,delete,delete,VACR
botrychium_virginianum,delete,delete,VACR
botryoccocus,delete,delete,ALGA
botryococcus,delete,delete,ALGA
brassicaceae,Brassicaceae,Brassicaceae,UPHE
brassicaceae_undiff,Brassicaceae,Brassicaceae,UPHE
bryales,delete,delete,UPBR
bryales_undiff,delete,delete,UPBR
bryophyta,delete,delete,UPBR
bupleurum,Apiaceae,Apiaceae,UPHE
calluna,Calluna vulgaris,Calluna vulgaris,TRSH
calluna_vulgaris,Calluna vulgaris,Calluna vulgaris,TRSH
caltha_type,Caltha-type,Caltha-type,UPHE
campanula,Campanulaceae,Campanulaceae,UPHE
campanula_type,Campanulaceae,Campanulaceae,UPHE
campanulaceae,Campanulaceae,Campanulaceae,UPHE
cannabis,Cannabis/Humulus,Cannabis/Humulus,UPHE
caprifoliaceae,Caprifoliaceae,Caprifoliaceae,TRSH
caprifoliaceae_sensu_lato,Caprifoliaceae,Caprifoliaceae,TRSH
caprifoliaceae_subf_dipsacoideae,Knautia-type,Knautia-type,UPHE
caprifoliaceae_subf_valerianoideae,Valerianaceae,Valerianaceae,UPHE
cardamine,Brassicaceae,Brassicaceae,UPHE
carex,Cyperaceae,Cyperaceae,UPHE
carex_type,Cyperaceae,Cyperaceae,UPHE
carpinus,Carpinus,Carpinus,TRSH
carpinus_betulus,Carpinus,Carpinus,TRSH
carpinus_cordata,Carpinus,Carpinus,TRSH
carpinus_ostrya,Ostrya/Carpinus orientalis,Ostrya/Carpinus orientalis,TRSH
carya,Carya,Carya,TRSH
carya_type,Carya,Carya,TRSH
caryophyllaceae,Caryophyllaceae,Caryophyllaceae,UPHE
caryophyllaceae_undiff,Caryophyllaceae,Caryophyllaceae,UPHE
cassiope,Ericaceae,Ericaceae,TRSH
castanea,Castanea,Castanea,TRSH
cedrus,Cedrus,Cedrus,TRSH
celastraceae,Celastraceae,Celastraceae,TRSH
celtis,Celtis,Celtis,TRSH
centaurea,Centaurea undiffrentiated,Centaurea undiffrentiated,UPHE
centaurea_cyanus,Centaurea cyanus-type,Centaurea cyanus-type,UPHE
centaurea_nigra_type,Centaurea undiffrentiated,Centaurea undiffrentiated,UPHE
